University_name,City,State,University_link,Tuition_Fees_Domestic,Type_of_Institution,Undergraduate_Population,Acceptance_Rate,Average_SAT_ACT_Score,Ranking_National,Graduation_Rate,Percentage_of_International_Students
Milan Institute-Palm Desert,Palm Desert,CA,www.milaninstitute.edu/,47585,Public,32384,77.94114187,1028,1179,96.69436005,9.419331106
Tohono O'odham Community College,Sells,AZ,www.tocc.edu/,7766,Private,36860,57.27518351,934,2177,79.40409171,22.39974279
Edward Via College of Osteopathic Medicine,Blacksburg,VA,www.vcom.edu/,41126,Public,4758,89.03957351,1515,3551,58.63684524,7.018227689
Pacific College of Health and Science,Chicago,IL,www.pacificcollege.edu/,40853,Public,20381,47.04663163,1060,1393,64.00841593,8.179576317
Southwest Institute of Healing Arts,Tempe,AZ,swiha.edu/,47709,Public,33225,70.9025266,1364,457,72.12812768,14.37380214
InterCoast Colleges-Riverside,Riverside,CA,https://www.intercoast.edu/,7610,Private,27994,49.20188382,826,3419,91.56319866,11.04169599
University of Antelope Valley,Lancaster,CA,www.uav.edu/,19436,Public,6282,31.37214399,1365,3478,62.82423234,6.346356065
Brighton Center's Center for Employment Training,Newport,KY,www.brightoncenter.com/,19546,Private,8715,31.86368045,1465,1507,51.2026453,9.199537087
California Healing Arts College,Carson,CA,www.chac.edu/,46777,Public,35042,63.31035684,1032,4552,57.28370132,17.17675396
Dallas Barber & Stylist College,Dallas,TX,www.dallasbarberandstylistcollege.com/,16796,Private,36780,53.10759377,1268,4702,68.16690392,13.68386819
NorthShore University HealthSystem School of Nurse Anesthesia,Evanston,IL,www.northshore.org/academics/other-programs/school-of-nurse-anesthesia/,29850,Public,34153,75.90799536,1483,3054,65.18002141,2.595511073
Faith International University,Tacoma,WA,https://www.faithiu.edu/,21379,Private,36882,36.0641598,1563,2269,54.73641922,15.24721488
Family of Faith Christian University,Shawnee,OK,www.familyoffaith.edu/,12911,Private,8743,29.03511292,1101,4760,57.30905136,17.28787012
Hood Theological Seminary,Salisbury,NC,www.hoodseminary.edu/,34971,Private,20437,82.88033304,870,1971,58.86143399,20.79209629
Colegio Educativo Tecnologico Industrial Inc,Arecibo,PR,https://www.ceticollege.com/,8008,Private,31790,74.62429695,1328,4319,56.93739503,7.06720709
Irene's Myomassology Institute,Southfield,MI,www.irenes.edu/,19362,Private,10156,81.81039035,991,1384,93.88474449,15.72127676
Jay's Technical Institute,Houston,TX,jtisite.wix.com/jaysbarberandbeauty,40368,Private,23038,99.45831227,1560,2820,73.43288696,8.059249632
NTMA Training Centers of Southern California,Santa Fe Springs,CA,ntmamcc.org/,36892,Public,29069,45.21835003,1051,1511,66.97707369,10.11030119
P C Age-Jersey City,Jersey City,NJ,www.pcage.edu/,39570,Public,30169,38.7542967,1136,6368,68.91730494,10.87554333
PC AGE-Metropark,Iselin,NJ,www.pcage.edu/,17572,Private,16722,22.12279796,1198,1617,50.43224597,11.27738268
Hollywood Institute,Margate,FL,www.hi.edu/,46110,Private,5206,7.433532337,1225,3364,56.37815624,6.579257391
South Florida Institute of Technology,Miami,FL,www.sf-institute.com/,29427,Public,22714,60.15101867,894,5744,84.0583244,11.50465332
Southeastern College-Charleston,North Charleston,SC,www.sec.edu/,43704,Public,26111,91.96595918,920,2676,79.05563537,8.320142346
Tigi Hairdressing Academy-Colorado Springs,Colorado Springs,CO,https://www.tigihairdressingacademy.com/,15886,Public,37213,39.05777362,883,1594,68.4072293,20.2210327
Trend Barber College,Houston,TX,trendbarbercollege.com/,33761,Private,4628,33.63318257,1502,3700,68.21845971,2.379720844
Valley Grande Institute for Academic Studies,Weslaco,TX,vgi.edu/,11925,Public,8728,51.56410784,1139,3581,90.08780571,5.340591347
West Coast University-Los Angeles,North Hollywood,CA,westcoastuniversity.edu/,48563,Public,19552,14.76783173,1294,5095,79.54682498,11.87715122
Williamson Christian College,Franklin,TN,www.williamsoncc.edu/,18908,Public,6811,84.91083166,929,4398,94.40208141,12.54811918
Triangle Tech Inc-Sunbury,Sunbury,PA,www.triangle-tech.edu/,24592,Private,33966,43.95597548,1545,2151,53.77475155,10.9631586
DigiPen Institute of Technology,Redmond,WA,https://www.digipen.edu/,34985,Public,26353,57.95850994,1086,4631,82.49713916,21.75397098
Pierpont Community and Technical College,Fairmont,WV,https://www.pierpont.edu/,35787,Private,3528,42.99863687,1514,5007,59.64346218,8.069073694
Dewey University-Hato Rey,Hato Rey,PR,dewey.edu/,41135,Private,21546,37.49155467,1579,4416,69.52876966,6.715692132
InterCoast Colleges-West Covina,W. Covina,CA,https://www.intercoast.edu/,20754,Public,21640,53.1925451,878,4672,80.05647142,23.21183517
American College of Healthcare Sciences,Portland,OR,www.achs.edu/,29450,Public,29413,74.83045825,1138,2878,82.04495492,10.75803558
Colorado Media School,Denver,CO,beonair.com/,8984,Public,18590,38.87844875,1244,5173,61.5456806,23.99308658
Paul Mitchell the School-Rhode Island,Cranston,RI,paulmitchell.edu/rhodeisland,17382,Private,29111,38.38192337,1035,4217,59.59785558,15.22906273
Miller-Motte College-Chattanooga,Chattanooga,TN,https://www.miller-motte.edu/,22857,Public,33638,45.68629408,1440,5433,67.39246116,18.75895809
Milan Institute-Sparks,Sparks,NV,www.milaninstitute.edu/,22998,Public,4995,20.28407072,1324,3953,75.19211634,18.89932139
Interactive College of Technology,Houston,TX,www.ict.edu/campuses/tx/north-houston/,15291,Public,35554,60.35601992,911,3213,85.74275341,11.62812672
Bexley Hall Seabury Western Theological Seminary Federation Inc.,Chicago,IL,www.bexleyseabury.edu/,27772,Public,34618,7.05547343,995,4151,91.89360964,19.62945943
Altierus Career College-Norcross,Norcross,GA,https://www.altierus.edu/,48819,Public,22869,31.92018347,1274,3067,56.82984362,22.12192737
Strayer University-Tennessee,Memphis,TN,www.strayer.edu/campus-locations/tennessee/thousand-oaks,16240,Public,13932,25.60297879,1245,4145,59.87385833,5.87119087
Strayer University-Pennsylvania,Trevose,PA,https://www.strayer.edu/campus-locations/pennsylvania/lower-bucks-county,41845,Public,2475,39.34242815,826,749,72.07624355,14.57744358
Charlie's Guard-Detective Bureau and Academy Inc,Aguadilla,PR,www.charliesacademy.edu/,28646,Private,34638,83.33506996,964,338,97.60572808,4.371537676
PCI Academy-Plymouth,Plymouth,MN,www.pci-academy.com/,16019,Private,26466,10.35855157,1312,4827,66.75619217,0.700036308
Creative Images Institute of Cosmetology-South Dayton,Dayton,OH,www.creativeimages.edu/,49528,Private,7096,6.216567717,1182,2251,54.97441999,13.48541216
Brookline College-Albuquerque,Albuquerque,NM,www.brooklinecollege.edu/,48506,Private,10701,88.90531699,1552,46,92.86659729,9.164908621
Byzantine Catholic Seminary of Saints Cyril and Methodius,Pittsburgh,PA,www.bcs.edu/,22873,Private,22320,73.37607118,1383,6045,85.86648304,1.431400271
Northcentral University,San Diego,CA,www.ncu.edu/,31520,Private,38366,77.3279677,1476,602,54.26017806,5.582594208
Bayamon Community College,Bayamon,PR,www.bccpr.org/,6980,Public,8123,6.029951194,1377,5824,53.89661656,5.93712249
Folsom Lake College,Folsom,CA,https://www.flc.losrios.edu/,18175,Public,28930,91.83861159,1117,5228,94.11290797,8.016100392
LeGrand Institute of Cosmetology Inc,Camden,SC,www.legrandinstitute.com/,15580,Public,7988,5.421971139,1525,3412,54.51832831,0.300579105
Hussian College-Daymar College Murfreesboro,Murfreesboro,TN,www.daymarcollege.edu/,37305,Private,12100,74.26331503,1283,2526,50.62606807,19.56316487
Cambridge Technical Institute,Caguas,PR,www.cti.edu/,41005,Public,23810,91.50228324,1162,4828,55.40725084,21.58421404
Empire Beauty School-Midlothian,Midlothian,VA,www.empire.edu/,18097,Public,38044,95.0638558,852,5581,60.18846552,18.81149132
Empire Beauty School-Owings Mills,Owings Mills,MD,www.empire.edu/,36027,Public,29871,55.18911368,1462,25,56.17120141,13.0762034
Empire Beauty School-West Mifflin,West Mifflin,PA,www.empire.edu/,26738,Public,23496,78.45287089,1072,799,66.80394473,22.6141207
ATI College-Whittier,Whitter,CA,www.ati.edu/,17421,Private,39984,18.56784866,1486,3970,95.60932298,12.38392419
Advance Science International College,Miami Lakes,FL,www.asicollege.edu/,27506,Public,9876,89.76328528,937,2369,69.09158136,8.090091473
ATA College,El Cajon,CA,https://apply.atacollege.edu/,43757,Public,21077,22.91487849,1565,5608,72.22473007,14.84614028
American Advanced Technicians Institute,Hialeah,FL,www.aati.edu/,43423,Private,37085,94.48169672,1538,3231,77.61636297,12.23454266
Baptist University of the Americas,San Antonio,TX,www.bua.edu/,23747,Public,36262,90.02236566,921,4778,96.84194104,22.49565044
The Beauty Institute,West  Palm Beach,FL,thebeautyinstitute.edu/,19506,Public,9674,15.87984668,1161,2357,65.3068325,18.85218099
Beis Medrash Heichal Dovid,Far Rockaway,NY,www.heichaldovid.org/,23928,Private,32741,87.11217112,1364,108,86.68432046,5.574439932
Blue Cliff Career College,Mobile,AL,www.blue.edu/,8140,Public,7429,48.45756788,1265,422,93.33671353,16.13735991
Career Beauty College,Lawrenceburg,TN,www.cbclburg.com/,21300,Private,22521,89.7857642,931,1150,62.26327316,12.95031561
Paul Mitchell the School-Gastonia,Gastonia,NC,paulmitchell.edu/gastonia,27723,Public,1373,95.55573022,1386,4463,60.42679311,19.6103134
CES College,Burbank,CA,www.cescollege.edu/,39422,Public,36027,49.23937867,1161,438,75.56041298,9.717317269
Stellar Career College,Modesto,CA,www.stellarcollege.edu/,23032,Public,1034,76.57590935,1173,3925,55.94889216,13.36503324
Auguste Escoffier School of Culinary Arts-Austin,Austin,TX,www.escoffier.edu/,21671,Public,39497,96.3259779,1126,4973,96.82179344,24.42386939
Culinary Institute Inc,Houston,TX,www.culinaryinstitute.edu/,10741,Private,7453,87.23690506,1353,5576,71.68717584,3.429735469
Escuela Hotelera de San Juan,Hato Rey,PR,www.escuelahotelera.edu/,5152,Public,9623,11.31559045,1028,1570,67.0365731,14.37787412
Orion Institute,Perrysburg,OH,www.orion.edu/orioninstitute,38284,Public,1028,20.69998904,1550,1137,66.68867536,7.129189995
Moore Career College,Baton Rouge,LA,moorecareercollege.edu/,13321,Private,27054,6.73257431,993,2592,82.0822024,7.70794868
Industrial Technical College,Humacao,PR,www.industrialtechnicalcollege.com/,18452,Private,3250,52.19667632,1039,2214,59.68061218,17.37965096
Institute of Clinical Acupuncture & Oriental Med,Honolulu,HI,www.orientalmedicine.edu/,8186,Public,36322,21.0526559,1271,5868,52.08801008,19.99871206
Gwinnett College-Marietta Campus,Marietta,GA,www.gwinnettcollege.edu/,42655,Private,23474,67.87490398,1286,2419,81.81920073,12.72677346
Leston College,Bayamon,PR,www.lestoncollege.com/,46950,Private,18775,35.10486381,1457,4031,79.81212775,23.32135474
Charlotte Christian College and Theological Seminary,Charlotte,NC,www.charlottechristian.edu/,21377,Private,31285,47.63085604,1487,87,57.62115341,1.943281345
Nightingale College,Salt Lake City,UT,www.nightingale.edu/,33265,Private,26772,21.47474814,902,777,68.48944864,22.73122775
PITC Institute,Wyncote,PA,pitc.edu/index.html,9044,Private,39205,24.68705507,1569,2424,56.53492483,16.5087649
Skinworks School of Advanced Skincare,Salt Lake City,UT,www.skinworks.edu/,5237,Private,19666,19.61963254,1169,1931,80.95645696,5.750891159
Southeastern College-Columbia,Columbia,SC,www.sec.edu/,38231,Private,38468,56.5922647,1220,1293,93.14253553,16.53619884
Technical Learning Centers Inc,Washington,DC,prospectcollege.edu/,17102,Public,38419,41.84974756,1090,4384,55.89677801,5.437606131
Turning Point Beauty College,Casa Grande,AZ,turningpointbeauty.com/,13867,Private,4067,28.67793059,1404,3861,62.45653585,17.90480624
Unitech Training Academy-Lafayette,Lafayette,LA,www.unitechta.edu/,5806,Public,10544,45.93679343,1429,1838,86.74378692,1.59915344
Mountwest Community and Technical College,Huntington,WV,www.mctc.edu/,6628,Private,4629,50.63922495,1396,1378,84.81907838,14.61986632
American InterContinental University,Chandler,AZ,www.aiuniv.edu/,8120,Public,19992,68.46878404,1204,6236,55.23463122,19.82397974
Toyota Technological Institute at Chicago,Chicago,IL,www.ttic.edu/,45834,Public,13759,6.314937571,1355,2935,68.55365358,0.465465244
American InterContinental University-Houston,Houston,TX,www.aiuniv.edu/online-campus/campus-locations/houston,23586,Public,26326,83.76444729,1556,5323,72.44477798,0.015900104
University of California-Merced,Merced,CA,ucmerced.edu/,41495,Private,4641,97.8577426,1162,3883,53.92839788,8.787640207
Remington College-North Houston Campus,Houston,TX,https://www.remingtoncollege.edu/locations/houston/greenspoint/,46415,Private,26256,34.97018059,1255,357,69.64403833,2.923332411
Paul Mitchell the School-Orlando,Oviedo,FL,paulmitchell.edu/orlando,15561,Private,9308,86.05073375,1385,3512,89.01167962,12.15715326
Pima Medical Institute-Las Vegas,Las Vegas,NV,https://pmi.edu/,24526,Public,34337,15.11583113,1331,1107,91.3683802,23.68039351
Remington College-Nashville Campus,Nashville,TN,https://www.remingtoncollege.edu/locations/nashville/,42662,Private,22521,9.484737237,1497,4226,66.17035617,23.03566515
Central Methodist University-College of Graduate and Extended Studies,Fayette,MO,www.centralmethodist.edu/,45979,Public,2785,27.18718738,1369,1899,88.06849514,16.11033697
North-West College-Riverside,Riverside,CA,www.north-westcollege.edu/,41916,Private,7105,11.06147123,1476,5401,52.7152825,16.4543535
Altierus Career College-Bissonnet,Houston,TX,https://www.altierus.edu/,22867,Private,31648,30.55038041,1445,1858,72.34778466,1.549234742
Colegio Tecnico de Electricidad Galloza,Aguada,PR,www.ctegpr.com/,15756,Private,16289,22.62403838,1428,5204,70.02068824,10.38593037
Arthur's Beauty College,Conway,AR,www.arthursbeautycollege.com/,33951,Private,4808,18.34573482,1267,3981,54.68074298,0.483713357
Spa Tech Institute-Westboro,Westborough,MA,www.spatech.edu/,31267,Private,4695,33.36841126,898,6356,54.79164487,11.02285756
Spa Tech Institute-Plymouth,Plymouth,MA,www.spatech.edu/,33226,Private,35314,63.32076518,1039,6060,67.96070596,4.178351123
Neumont College of Computer Science,Salt Lake City,UT,https://www.neumont.edu/,5765,Public,7180,96.87070807,1079,3105,78.91271808,14.42381942
Johnson & Wales University-Charlotte,Charlotte,NC,https://www.jwu.edu/campuses/charlotte/,44820,Public,31315,16.55791663,906,446,63.47138475,0.196098327
Roseman University of Health Sciences,Henderson,NV,www.roseman.edu/,5018,Public,15845,72.43624513,1398,1693,85.0986306,6.678413227
Fortis Institute-Port Saint Lucie,Port Saint Lucie,FL,www.fortis.edu/,10127,Private,38866,68.32606843,1060,4569,66.36165323,22.3410638
Aviation Institute of Maintenance-Manassas,Manassas,VA,https://aviationmaintenance.edu/campuses/nova,25021,Private,16409,9.179143843,1410,2924,64.84284324,3.57761216
Cosmetology School of Arts & Sciences,Burley,ID,cosmetologyschoolof-art.com/,45966,Private,34029,95.38979609,800,186,50.81066126,24.93673961
Universal Technical Institute of Pennsylvania Inc,Exton,PA,www.uti.edu/,11998,Public,7581,56.15973266,1475,4777,64.11435777,9.978859348
Kenneth Shuler School of Cosmetology-Spartanburg,Spartanburg,SC,www.kennethshuler.com/,11606,Public,35152,72.2526871,854,1900,77.3448573,7.402465557
Kenneth Shuler School of Cosmetology-Columbia,Columbia,SC,www.kennethshuler.com/,26290,Public,16150,60.19839428,1579,4089,88.14333047,21.00331413
Divine Mercy University,Sterling,VA,www.divinemercy.edu/,32649,Private,26543,99.97955883,1320,3477,93.81142941,22.73331327
Lincoln Technical Institute-Shelton,Shelton,CT,www.lincolntech.edu/campus/shelton-ct,45102,Private,3966,7.278718981,907,798,88.82883575,23.59106818
Northwest Career College,Las Vegas,NV,www.northwestcareercollege.edu/,30506,Private,5076,15.97549601,1455,311,96.63097439,11.85560238
Soma Institute-The National School of Clinical Massage Therapy,Chicago,IL,www.soma.edu/,33175,Public,7366,68.78883728,1109,6004,80.66985195,2.830953844
American Academy of Health and Wellness,Roseville,MN,https://www.acupunctureschoolusa.com/,29395,Public,7688,10.90394546,995,4571,89.03372091,11.31903759
Arizona School of Acupuncture and Oriental Medicine,Tucson,AZ,www.asaom.edu/,48419,Public,7705,82.26349124,903,2729,71.51405249,17.54513792
Ave Maria University,Ave Maria,FL,www.avemaria.edu/,17386,Private,24465,99.42664803,801,230,72.06319961,12.87781264
CALC Institute of Technology,Alton,IL,calc.edu/,10417,Private,6536,92.47363071,1309,3997,59.77656604,14.83706846
Sutter County Career Training Center,Yuba City,CA,www.cambridge.edu/,39963,Private,12087,31.17583361,1419,1601,73.04429784,13.95717687
Cambridge College of Healthcare & Technology,Altamonte Springs,FL,www.cambridgehealth.edu/,31002,Private,23957,90.10104758,1476,824,88.17976613,20.13318097
Career Care Institute,Lancaster,CA,www.ccicolleges.edu/,23884,Public,8712,29.20009398,1167,6193,86.29232766,22.39896009
ATA Career Education,Spring Hill,FL,www.atafl.edu/,49381,Private,11939,15.77042436,955,5864,81.82170352,9.851590602
Community Christian College,Redlands,CA,https://www.cccollege.edu/,36877,Private,17425,11.49522144,1009,2288,74.71209236,5.149546044
Culpeper Cosmetology Training Center,Culpeper,VA,www.culpepercosmetology.com/,24694,Public,1424,59.69415019,1108,5985,74.60237432,19.3523437
Eastern School of Acupuncture and Traditional Medicine,Bloomfield,NJ,www.esatm.edu/,30423,Public,10753,9.286464313,1096,2958,94.96116186,9.354124125
Ecclesia College,Springdale,AR,ecollege.edu/,47317,Private,26024,17.57524595,1446,1406,60.9162048,3.690022381
Employment Solutions-College for Technical Education,Lexington,KY,cte.edu/,29506,Private,12095,95.24015414,1016,5014,97.82809125,16.62321614
Estelle Medical Academy,Skokie,IL,www.school-for-massage.com/,47419,Public,14917,37.82987054,866,5538,94.02829017,23.33209988
